卦別爻號,卦別,卦圖,卦爻辭,象辭,彖辭,卦爻辭解讀-傅佩榮
豐,豐,,豐：亨，王假之，勿憂，宜日中。,象曰：雷電皆至，豐﹔君子以折獄致刑。,彖曰：豐，大也。 明以動，故豐。王假之，尚大也。 勿憂宜日中，宜照天下也。日中則昃，月盈則食，天地盈虛，與時消息，而況人於人乎？況於鬼神乎？,
豐初,豐,,初九：遇其配主，雖旬無咎，往有尚。,象曰：雖旬無咎，過旬災也。,,
豐二,豐,,六二：豐其蔀，日中見斗，往得疑疾，有孚發若，吉。,象曰：有孚發若，信以發志也。,,
豐三,豐,,九三：豐其沛，日中見昧，折其右肱，無咎。,象曰：豐其沛，不可大事也。 折其右肱，終不可用也。,,
豐四,豐,,九四：豐其蔀，日中見斗，遇其夷主，吉。,象曰：豐其蔀，位不當也。 日中見斗，幽不明也。 遇其夷主，吉﹔行也。,,
豐五,豐,,六五：來章，有慶譽，吉。,象曰：六五之吉，有慶也。,,
豐上,豐,,上六：豐其屋，蔀其家，窺其戶，闃ㄑㄩˋ其無人，三歲不見，凶。,象曰：豐其屋，天際翔也。 窺其戶，闃其無人，自藏也。,,
旅,旅,,旅：小亨，旅貞吉。,象曰：山上有火，旅﹔君子以明慎用刑，而不留獄。,彖曰：旅，小亨，柔得中乎外，而順乎剛，止而麗乎明，是以小亨，旅貞吉也。 旅之時義大矣哉！,
旅初,旅,,初六：旅瑣瑣，斯其所取災。,象曰：旅瑣瑣，志窮災也。,,
旅二,旅,,六二：旅即次，懷其資，得童仆貞。,象曰：得童仆貞，終無尤也。,,
旅三,旅,,九三：旅焚其次，喪其童仆，貞厲。,象曰：旅焚其次，亦以傷矣。 以旅與下，其義喪也。,,
旅四,旅,,九四：旅于處，得其資斧，我心不快。,象曰：旅于處，未得位也。 得其資斧，心未快也。,,
旅五,旅,,六五：射雉一矢亡，終以譽命。,象曰：終以譽命，上逮也。,,
旅上,旅,,上九：鳥焚其巢，旅人先笑后號啕。 喪牛于易，凶。,象曰：以旅在上，其義焚也。 喪牛于易，終莫之聞也。,,
巽,巽,,巽：小亨，利攸往，利見大人。,象曰：隨風，巽﹔君子以申命行事。,彖曰：重巽以申命，剛巽乎中正而志行。柔皆順乎剛，是以小亨，利有攸往，利見大人。,
巽初,巽,,初六：進退，利武人之貞。,象曰：進退，志疑也。 利武人之貞，志治也。,,
巽二,巽,,九二：巽在床下，用史巫紛若，吉無咎。,象曰：紛若之吉，得中也。,,
巽三,巽,,九三：頻巽，吝。,象曰：頻巽之吝，志窮也。,,
巽四,巽,,六四：悔亡，田獲三品。,象曰：田獲三品，有功也。,,
巽五,巽,,九五：貞吉悔亡，無不利。 無初有終，先庚三日，后庚三日，吉。,象曰：九五之吉，位正中也。,,
巽上,巽,,上九：巽在床下，喪其資斧，貞凶。,象曰：巽在床下，上窮也。 喪其資斧，正乎凶也。,,
兌,兌,,兌：亨，利貞。,象曰：麗澤，兌﹔君子以朋友講習。,彖曰：兌，說也。 剛中而柔外，說以利貞，是以順乎天，而應乎人。 說以先民，民忘其勞﹔說以犯難，民忘其死﹔說之大，民勸矣哉！,
兌初,兌,,初九：和兌，吉。,象曰：和兌之吉，行未疑也。,,
兌二,兌,,九二：孚兌，吉，悔亡。,象曰：孚兌之吉，信志也。,,
兌三,兌,,六三：來兌，凶。,象曰：來兌之凶，位不當也。,,
兌四,兌,,九四：商兌，未寧，介疾有喜。,象曰：九四之喜，有慶也。,,
兌五,兌,,九五：孚于剝，有厲。,象曰：孚于剝，位正當也。,,
兌上,兌,,上六：引兌。,象曰：上六引兌，未光也。,,
渙,渙,,渙：亨。 王假有廟，利涉大川，利貞。,象曰：風行水上，渙﹔先王以享于帝立廟。,彖曰：渙，亨。 剛來而不窮，柔得位乎外而上同。 王假有廟，王乃在中也。 利涉大川，乘木有功也。,
渙初,渙,,初六：用拯馬壯，吉。,象曰：初六之吉，順也。,,
渙二,渙,,九二：渙奔其機，悔亡。,象曰：渙奔其機，得愿也。,,
渙三,渙,,六三：渙其躬，無悔。,象曰：渙其躬，志在外也。,,
渙四,渙,,六四：渙其群，元吉。 渙有丘，匪夷所思。,象曰：渙其群，元吉﹔光大也。,,
渙五,渙,,九五：渙汗其大號，渙王居，無咎。,象曰：王居無咎，正位也。,,
渙上,渙,,上九：渙其血，去逖出，無咎。,象曰：渙其血，遠害也。,,
節,水澤節,䷻,節：亨。 苦節不可貞。,象曰：澤上有水，節﹔君子以制數度，議德行。,彖曰：節，亨，剛柔分，而剛得中。苦節不可貞，其道窮也。說以行險，當位以節，中正以通。 天地節而四時成，節以制度，不傷財，不害民。,"節。亨。苦節不可貞。

【白話】
節卦。通達。苦澀的節制不能正固。

【解讀】
• 節卦是下兌上坎，亦即“水澤節”。《序卦》說：“物不可以終
離，故受之以節。”一直離散下去，並不適宜，所以接著要談節
卦。節有節制、制止之意。《雜卦》說：“節，止也。”

• 節卦與渙卦為正覆關係，所以論其來源，是由泰卦（䷊，第十
一卦）變來，亦即泰卦九三與六五換位，形成節卦（䷻）。雖然
卦辭說泰卦“吉亨”，但是若是保持不動，則依然天地無法交流。
勉強保持不動，就是“苦節”（“苦”有過度而苦之意），“不可
貞”。由卦象看來，節卦下兌上坎是“澤上有水”，澤的容量有
限，必須有所節制。

《彖》日：節，亨。剛柔分而剛得中。苦節不可貞，其道窮也。
說以行險，當位以節，中正以通。天地節而四時成。
節以制度，不傷財，不害民。

【白話】
《彖傳》說：節卦，通達。剛強者與柔順者分開，並且剛強者取得
中位。苦澀的節制不能正固，是因為路已經走到盡頭。喜悅而去冒險犯
難，位置適當而能節制，居中守正才可通順。天地有節制，四季才會形
成。用制度來節制，就不會浪費錢財，也不會禍害百姓。
【解讀】
•  泰卦下乾上坤，陰陽二組力量壁壘分明，一變而為節卦，則陰
爻陽爻得到交錯機會，並且九五與九二皆為陽爻，這就是“剛
柔分而剛得中”。如果泰卦不變，則成為“苦節”，一切停滯下
來，前無去路，所以說“不可貞”。
•  節卦下兌上坎，坎為險，兌為悅，亦即“說以行險”，意思是：
節制並非完全避開挑戰，而是要在喜悅時才可冒險。得位時能
夠節制，才可做到“中正以通”。就自然界而言，天地的運行有
其節制，四季才會依序出現。就人間世而言，則須以制度來規
範，才不至於耗費金錢與傷害百姓。

《象》日：澤上有水，節。君子以制數度，議德行。

【白話】
《象傳》說：沼澤上有水，這就是節卦。君子由此領悟，要制定數量
上的限度，評議道德上的行為表現。

【解讀】
•  節卦是下兌上坎，坎為水，兌為澤，是為“澤上有水”。澤的
容量是固定的，少則聚積，多則流瀉，顯示某種節制。

•  君子照顧百姓的生活所需，要“制數度”，並且為了提升社會
風氣，要“議德行”。程頤說：“君子觀節之象，以制立數度，凡
物之大小輕重高下文質，皆有數度；所以為節也，數多寡，度
法制。議德行者，存諸中為德，發於外為行，人之德行，當義
則中節。議謂適度求中節也。”《中庸》首章所推崇的中和，所
強調的是：“喜怒哀樂之未發謂之中，發而皆中節謂之和。”
"
節初,節,,初九：不出戶庭，無咎。,象曰：不出戶庭，知通塞也。,,"初九。不出戶庭，無咎。
《象》曰：不出戶庭，知通塞也。

【白話】
初九。不離開門戶與庭院，沒有災難。
《象傳》說：不離開門戶與庭院，是因為知道通達與閉塞。

【解讀】
• 在泰卦變為節卦的過程中，初九與其正應六四不受影響。現在
處於節卦，理當有所節制，而初九知道自己的通（有正應）與
塞（要收斂），所以“不出戶庭”。

• 節卦出現互艮（六三、六四、九五），艮為門闕，又為止，初九距
門闕還有兩步，所以要“不出戶庭”，如此能有分寸，可以“無咎”。

•《繫辭上》談到這句爻辭，說：“子曰：‘亂之所生也，則言語
以為階。君不密則失臣，臣不密則失身，幾事不密則害成，是
以君子縝密而不出也。’”"
節二,節,,九二：不出門庭，凶。,象曰：不出門庭，失時極也。,,"九二。不出門庭，兇。
《象》曰：不出門庭兇，失時極也。

【白話】
九二。不走出門戶與庭院，有兇禍。
《象傳》說：不走出門戶與庭院，會有兇禍，是因為過度錯過了時機。

【解讀】
• 九二與初九一樣，在節卦的互艮之下，但是九二自身已進人互震
（九二、六三、六四）中，震為行，所以“不出門庭”反而是“兇”。

• 九二以陽爻居下卦中位，在卦變過程中當行而未行，以致從原
來的有應變成無應，甚至為六三所乘，所以說“失時極也”。“極”
為過度，為極端，在本卦中則是錯失了節度。"
節三,節,,六三：不節若，則嗟若，無咎。,象曰：不節之嗟，又誰咎也。,,"六三。不節若，則嗟若，無咎。
《象》曰：不節之嗟，又誰咎也？

【白話】
六三。沒有節制的樣子，就會出現悲嘆的樣子，沒有責難。
《象傳》說：沒有節制的悲嘆，又能責難誰呢？

【解讀】
• 泰卦六五居上卦之中，又有九二正應，現在成為節卦的六三，
位置不中不正，又無正應，這都是“不節若”造成的。

• 六三在下卦兌中，兌為口，所以說“則嗟若”。“無咎”的“咎”
在此為責難、責怪的意思，這一切都是自己造成的，所以說“又
誰咎也”。"
節四,節,,六四：安節，亨。,象曰：安節之亨，承上道也。,,"六四。安節，亨。
《象》日：安節之亨，承上道也。

【白話】
六四。安定的節制，通達。
《象傳》說：安定的節制之所以通達，是因為順承上位者的正道。

【解讀】
• 六四在卦變時未動，卦變之後在互艮（六三、六四、九五）中，
艮止，所以是“安節”。

• 六四以陰爻居柔位，下有初九正應，現在又能順承居中守正的
九五，亦即“承上道也”，所以說“亨”。"
節五,節,,九五：甘節，吉﹔往有尚。,象曰：甘節之吉，居位中也。,,"九五。甘節，吉，往有尚。
《象》曰：甘節之吉，居位中也。

【白話】
九五。甘美的節制，吉祥，前往受到推崇。
《象傳》說：甘美的節制之所以吉祥，是因為處於中位。

【解讀】
• 九五在卦變時，由泰卦九三上來，取得泰卦上卦坤的中位；坤
為土，依《尚書•洪範》所言，“土愛稼穡”，而“稼穡作甘”，
所以九五是“甘節”。九五由下卦上來而取得尊位，是“往有尚”。

• 九五之“吉”，在彖辭已經談到，就是“當位以節，中正以通”，
總之則是“居位中也”。"
節上,節,,上六：苦節，貞凶，悔亡。,象曰：苦節貞凶，其道窮也。,,"上六。苦節，貞兇，悔亡。
《象》曰：苦節貞兇，其道窮也。

【白話】
上六。苦澀的節制，正固會有兇禍，懊惱消失。
《象傳》說：苦澀的節制，正固會有兇禍，是因為路已經走到盡頭。

【解讀】
• 上六在泰卦中，原與九三正應，泰卦九三與六五換位形成節卦，
使上六失去正應。上六現在處於上卦坎中，坎為險，為苦難，所
以上六的節制是“苦節”。因為正固而陷人苦澀的處境，所以說
“貞兇”。

• 上六已至全卦終位，前無去路，“其道窮也”。不過，以陰爻居
柔位，仍有柔順之德，可以隨從九五中位，而得以 “悔亡”。"
中孚,風澤中孚,䷼,中孚：豚魚吉，利涉大川，利貞。,象曰：澤上有風，中孚﹔君子以議獄緩死。,彖曰：中孚，柔在內而剛得中。 說而巽，孚，乃化邦也。 豚魚吉，信及豚魚也。 利涉大川，乘木舟虛也。 中孚以利貞，乃應乎天也。,"中孚。豚魚，吉。利涉大川，利貞。

【白話】
中孚卦。豬與魚出現，吉祥。適宜渡過大河，適宜正固。

【解讀】
• 中孚卦是下兌上巽，亦即“風澤中孚”。《序卦》說：“節而信
之，故受之以中孚。”有所節制，才可取信於人，所以接著要探
討的是中孚卦。《雜卦》說：“中孚，信也。”符節在古代為信物，
由卦象看，上下二卦搭配合宜，若合符節，可作為憑信。“中”
指內心，所以“中孚”為內心誠信。

• 關於“豚魚”，程頤說：“豚躁魚冥，物之難感者也。孚信能
感於豚魚，則無不至矣，所以吉也。”若由卦象找根據，則涉
及兩度卦變，虞翻之說可供參考。他指出：“訟四之初也。”亦
即訟卦（䷅，第六卦）的九四與初六換位而成中孚卦（ ䷼）。但
是卦變多從十二訊息卦產生，所以他又說：“此當從四陽二陰
之例，遁陰未及三，而大壯陽已至四，故從訟來。”結論則是
要先由遁卦（䷠，第三十三卦）變為訟卦，再由訟卦變為中孚
卦。他如此解釋的用意，是要找出“豚魚”的出處：遁卦有互
巽（六二、九三、九四），巽為魚，而訟卦有下坎，坎為豕。遁
變為訟，訟再變為中孚，所以說“豚魚，吉”。由此一例，可
知歷代學者研究《易經》所費之心力。

• 中孚卦下兌上巽，巽為木，引申為木舟，兌為澤，木舟可行於
澤上，所以說“利涉大川”。九五與九二皆為陽爻居中位，所以
說“利貞”。

《彖》日：中孚，柔在內而剛得中。說而巽，孚乃化邦也。豚魚吉，信
及豚魚也。利涉大川，乘木舟虛也。中孚以利貞，乃應乎天也。

【白話】
《彖傳》說：中孚卦，柔順者在內而剛強者取得中位。喜悅而隨順，
誠信才可感化邦國。豬與魚吉祥，是說誠信及於豬與魚。適宜渡過大河，
是說乘坐木船還有空位。內心誠信而適宜正固，則是順應天之道。

【解讀】
• 中孚卦是下兌上巽，卦象為上下四個陽爻居外，中間兩個陰爻，
並且陽爻佔有五、二中位，亦即“柔在內而剛得中”。下兌為悅，
上巽為隨順，有如百姓喜悅而君上隨順，誠信到這種地步，才
可化民成俗，邦國大治。

• 程頤說：“內外皆實而中虛，為中孚之象。又二五皆陽，中實，
亦為孚義。在二體則中實，在全體則中虛。中虛，信之本；中
實，信之質。”講求誠信，必須態度謙虛，才可尊重別人；同時
要腳踏實地，做到言出必行。

• “信及豚魚也”，表示精誠所至，金石為開，自然可以感動百
姓。“乘木舟虛也”，則指涉全卦中間兩個陰爻，虛位以待。然
後，能夠誠信而正固，就合乎天地運行的恆久法則了。

《象》曰：澤上有風，中孚。君子以議獄緩死。

【白話】
《象傳》說：沼澤上有風在吹，這就是中孚卦。君子由此領悟，要認
真討論訟案，緩慢判決死刑。

【解讀】
• 中孚卦是下兌上巽，巽為風，兌為澤，所以說“澤上有風”。風
有如政教命令，澤有如施恩於民 既要維持綱紀，又要照顧百姓。

• 君子所能做的是“議獄緩死”，在追求社會正義時，不忘同情
體諒罪犯。"
中孚初,中孚,,初九：虞吉，有他不燕。,象曰：初九虞吉，志未變也。,,"初九。虞吉，有它不燕。
《象》曰：初九虞吉，志未變也。

【白話】
初九。可預料就吉祥，有其他狀況則不安。
《象傳》說：初九可預料就吉祥，是因為心意並未改變。

【解讀】
• “虞”為預料、猜測。古代有虞官，擔任王公貴族打獵時的嚮導。
初九居中孚卦初位，上有六四正應，所作所為可以預料，猶如前
有嚮導，不會迷路，所以“吉”。這也是初九“志未變也”的表現。

• “燕”為安寧，“它”為其他。初九在下卦兌中，兌為澤，它
又上臨互震（九二、六三、六四），震為雷，有雷入澤之象，應
該沉寂安定，所以說“有它不燕”。"
中孚二,中孚,,九二：鳴鶴在陰，其子和之，我有好爵，吾與爾靡之。,象曰：其子和之，中心愿也。,,"九二。鶴鳴在陰，其子和之。我有好爵，吾與爾靡之。
《象》曰：其子和之，中心願也。

【白話】
九二。大鶴在樹蔭下啼叫，它的小鶴啼叫應和。我有美酒一罐，我要
與你共享。
《象傳》說：它的小鶴啼叫應和，是發自內心的願望。

【解讀】
• 九二以陽爻居中位，剛實居中，顯示誠信之至。自然界中，鶴
在山林棲息，親子以鳴呼應，既屬本能之所為，也有全心的信賴。
在人間世，朋友志同道合，願意分享一切。“爵”為酒杯，引申
為酒。“靡”為共，引申共享。朋友共品美酒，貴在心意相通。

•《繫辭上》引述孔子對這句爻辭的評述說：“君子居其室，出
其言善，則千里之外應之，況其邇者乎？居其室，出其言不善，
則千里之外違之，況其邇者乎？言出乎身，加乎民；行發乎邇，
見乎遠。言行，君子之樞機。樞機之發，榮辱之主也。言行，君
子之所以動天地也，可不慎乎？”"
中孚三,中孚,,六三：得敵，或鼓或罷，或泣或歌。,象曰：可鼓或罷，位不當也。,,"六三。得敵，或鼓或罷，或泣或歌。
《象》日：或鼓或罷，位不當也。

【白話】
六三。遇到對手，或擊鼓或休兵，或哭泣或唱歌。
《象傳》說：或擊鼓或休兵，是因為位置不恰當。

【解讀】
• 六三在下卦終位，面臨上卦，可謂棋逢敵手。六三在互震（九
二、六三、六四）中，震為雷，引申為擊鼓作戰；又在互艮（六
三、六四、九五）中，艮為止，引申為休兵罷戰；六三在下卦
兌中，兌為口，為悅，引申為唱歌；它又面臨上巽，巽為風，為
號，引申為哭泣，於是形成爻辭的一段生動描寫。

•六三之種種猶疑狀態，來自它的不中不正之位。"
中孚四,中孚,,六四：月几望，馬匹亡，無咎。,象曰：馬匹亡，絕類上也。,,"六四。月既望，馬匹亡，無咎。
《象》曰：馬匹亡，絕類上也。

【白話】
六四。月亮已經滿盈，馬匹丟失，沒有災難。
《象傳》說：馬匹丟失，是因為離開同類往上走。


【解讀】
• “月既望”，王弼本作“月幾望”，而帛書本則作“月既望”。六
四已到上卦巽，巽為農曆十六以後的月亮。如此取象系根據納甲
之說：每月三日為震，八日為兌，十五日為乾（月盈），十六日
為巽，二十三日為艮，三十日為坤（月虛），以此描寫月之盈虛。

• 中孚卦由遁卦變來，遁卦上卦乾，乾為馬；現在六四進入上卦，
使乾卦消失，所以說“馬匹亡”。

• “月既望”與“馬匹亡”都不是美好的事，而六四可以“無咎”，
原因在於六四自己陰爻居柔位，足以取信於人；並且離開原本
在下卦的同類，往上順承九五之君。"
中孚五,中孚,,九五：有孚攣如，無咎。,象曰：有孚攣如，位正當也。,,"九五。有孚攣如，無咎。
《象》曰：有孚攣如，位正當也。

【白話】
九五。有誠信而繫念著，沒有災難。
《象傳》說：有誠信而繫念著，是因為位置正確而恰當。

【解讀】
• 九五居中正之位，為全卦核心。“攣”為捲曲抽緊、繫念於心。
九五在上卦巽中，巽為繩，又在互艮（六三、六四、九五）中，
艮手，合之則為以手繫繩以連線各爻。

• 九五的誠信不容置疑，但與九二不應，所以只可說是“無咎”。
並且，真正的誠信不能全靠有形的力量來固結。"
中孚上,中孚,,上九：翰音登于天，貞凶。,象曰：翰音登于天，何可長也。,,"上九。翰音登於天，貞兇。
《象》曰：翰音登於天，何可長也？

【白話】
上九。雞啼的聲音傳升到天上，正固會有兇禍。
《象傳》說：雞啼的聲音傳升到天上，怎麼可能長久？

【解讀】
•《禮記•曲禮下》：“凡祭宗廟之禮，牛曰一元大武.....雞曰翰
音…”祭祀時特別稱雞為“翰音”，以示其音質之美，所以“翰
音”為雞啼的聲音。上九在上卦巽中，巽為雞；它與六三正應，
六三在下兌中，兌為口，合之則有雞鳴之象。

• 上九位居全卦終位，又不懼聲名太大，而未覺察前無去路，“何
可長也？”所以說“貞兇”。"
小過,小過,,小過：亨，利貞，可小事，不可大事。飛鳥遺之音，不宜上宜下，大吉。,象曰：山上有雷，小過﹔君子以行過乎恭，喪過乎哀，用過乎儉。,彖曰：小過，小者過而亨也。 過以利貞，與時行也。 柔得中，是以小事吉也。 剛失位而不中，是以不可大事也。 有飛鳥之象焉，有飛鳥遺之音，不宜上宜下，大吉﹔上逆而下順也。,
小過初,小過,,初六：飛鳥以凶。,象曰：飛鳥以凶，不可如何也。,,
小過二,小過,,六二：過其祖，遇其妣﹔不及其君，遇其臣﹔無咎。,象曰：不及其君，臣不可過也。,,
小過三,小過,,九三：弗過防之，從或戕之，凶。,象曰：從或戕之，凶如何也。,,
小過四,小過,,九四：無咎，弗過遇之。 往厲必戒，勿用永貞。,象曰：弗過遇之，位不當也。 往厲必戒，終不可長也。,,
小過五,小過,,六五：密云不雨，自我西郊，公弋取彼在穴。,象曰：密云不雨，已上也。,,
小過上,小過,,上六：弗遇過之，飛鳥離之，凶，是謂災眚。,象曰：弗遇過之，已亢也。,,
既濟,既濟,,既濟：亨，小利貞，初吉終亂。,象曰：水在火上，既濟﹔君子以思患而預防之。,彖曰：既濟，亨，小者亨也。利貞，剛柔正而位當也。 初吉，柔得中也。終止則亂，其道窮也。,
既濟初,既濟,,初九：曳其輪，濡其尾，無咎。,象曰：曳其輪， 義無咎也。,,
既濟二,既濟,,六二：婦喪其茀，勿逐，七日得。,象曰：七日得，以中道也。,,
既濟三,既濟,,九三：高宗伐鬼方，三年克之，小人勿用。,象曰：三年克之，憊也。,,
既濟四,既濟,,六四：儒有衣袽，終日戒。,象曰：終日戒，有所疑也。,,
既濟五,既濟,,九五：東鄰殺牛，不如西鄰之禴祭，實受其福。,象曰：東鄰殺牛，不如西鄰之時也﹔實受其福，吉大來也。,,
既濟上,既濟,,上六：濡其首，厲。,象曰：濡其首厲，何可久也。,,
未濟,未濟,,未濟：亨，小狐汔濟，濡其尾，無攸利。,象曰：火在水上，未濟﹔君子以慎辨物居方。,彖曰：未濟，亨﹔柔得中也。 小狐汔濟，未出中也。 濡其尾，無攸利﹔不續終也。 雖不當位，剛柔應也。,
未濟初,未濟,,初六：濡其尾，吝。,象曰：濡其尾，亦不知極也。,,
未濟二,未濟,,九二：曳其輪，貞吉。,象曰：九二貞吉，中以行正也。,,
未濟三,未濟,,六三：未濟，征凶，利涉大川。,象曰：未濟征凶，位不當也。,,
未濟四,未濟,,九四：貞吉，悔亡，震用伐鬼方，三年有賞于大國。,象曰：貞吉悔亡，志行也。,,
未濟五,未濟,,六五：貞吉，無悔，君子之光，有孚，吉。,象曰：君子之光，其暉吉也。,,
未濟上,未濟,,上九：有孚于飲酒，無咎，濡其首，有孚失是。,象曰：飲酒濡首，亦不知節也。,,
